
Liste des libellés et des statuts :

--------------------------------------------------
Libellé :       AGA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGR_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGTNA_AH
Statut :          Suspendu
--------------------------------------------------
Libellé :       AGTNA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGTNI_AH
Statut :          Suspendu
--------------------------------------------------
Libellé :       AGTNR_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AH_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_FM
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Resilie
--------------------------------------------------
Libellé :       ASA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       ASR_BASE
Statut :          Resilie
--------------------------------------------------
Libellé :       ASTNA_AH
Statut :          Actif
--------------------------------------------------
Libellé :       ASTNA_BASE
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ACEDAT
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ACENTRAL
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ACLARIS
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AKERPROI
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_AKERPROM
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_AKMMOTOR
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_ALABBE
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_ALABEL
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALAMIRAU
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALAUNAY
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALECLEAO
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ALOIRAL
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMAGYARC
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMAGYARC2
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Resilie
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ALAMIRAU
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AKERPROI
Statut :          Resilie
--------------------------------------------------
Libellé :       AGA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGR_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGTNA_AH
Statut :          Suspendu
--------------------------------------------------
Libellé :       AGTNA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AGTNI_AH
Statut :          Suspendu
--------------------------------------------------
Libellé :       AGTNR_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       AH_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_FM
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Resilie
--------------------------------------------------
Libellé :       ASA_BASE
Statut :          Actif
--------------------------------------------------
Libellé :       ASR_BASE
Statut :          Resilie
--------------------------------------------------
Libellé :       ASTNA_AH
Statut :          Actif
--------------------------------------------------
Libellé :       ASTNA_BASE
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ACEDAT
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ACENTRAL
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ACLARIS
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AKERPROI
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_AKERPROM
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_AKMMOTOR
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_ALABBE
Statut :          Resilie
--------------------------------------------------
Libellé :       BAS_ALABEL
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALAMIRAU
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALAUNAY
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_ALECLEAO
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ALOIRAL
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMAGYARC
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMAGYARC2
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Actif
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_AMARY
Statut :          Resilie
--------------------------------------------------
Libellé :       ANI_PRV
Statut :          Suspendu
--------------------------------------------------
Libellé :       BAS_ALAMIRAU
Statut :          Actif
--------------------------------------------------
Libellé :       BAS_AKERPROI
Statut :          Resilie
--------------------------------------------------
Nombre d'enregistrements :
72
Nombre d'Actifs :
36
Nombre de résiliés :
16
Nombre de suspendus:
30
